Data Source,World Development Indicators
,
Last Updated Date,10-07-25
,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023,2024
IDA blend,IDB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3315084302293.89,3580405169363.25,4004895251665.26,4254754673379.99,4525577495105.92
Indonesia,IDN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3223404542894.6,3530623140454.75,3983074391531.86,4334743944551.08,4662887595103.26
IDA only,IDX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4240500686756.22,4633169889694.2,5183649311830.22,5550963049149.72,5945737179491.79
Isle of Man,IMN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
India,IND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9771021183358.88,11384367630967.9,13124053155136.1,14845911292307.9,16190819718797.5
Not classified,INX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Ireland,IRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,492886866396.886,597445848156.993,709490152389.069,662924221900.406,705755786877.782
"Iran, Islamic Rep.",IRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1237805777178.19,1322577157396.53,1470380001563.54,1600138337693.92,1688651728561.7
Iraq,IRQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,445338053116.048,548372044650.92,634224994897.802,660448460341.748,665966378219.474
Iceland,ISL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,20447442733.9865,22951036648.8571,28049039292.067,30156746997.1461,31664276580.4617
Israel,ISR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,377407052497.651,432603337813.424,511940108074.608,525948204389.143,555481708109.946
Italy,ITA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2641203589480.81,2946333608376.65,3319366253339.18,3415333338674.66,3589121540312.88
Jamaica,JAM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25451633088.1949,27176946493.566,30634742220.3548,32563744657.7294,33111437467.4481
Jordan,JOR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,104080200892.953,101616771489.092,111743557894.989,119103273959.643,125019343386.99
Japan,JPN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5356710635860.81,5574650884739.54,5930403853110.9,6212962918547.56,6407671854496.88
Kazakhstan,KAZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,565757228613.755,650469813945.991,719143972705.045,783017688189.349,840445512071.735
Kenya,KEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,250255393335.358,284129273925.386,319179328511.243,349035957917.845,373549891750.11
Kyrgyz Republic,KGZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,34834094213.2461,39301901464.0311,45879594489.2342,51814586970.3659,57864889798.0022
Cambodia,KHM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,99390356590.6425,105674090069.142,119015567874.092,129472162766.306,140580072943.655
Kiribati,KIR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,341842564.466708,387761958.155448,434376227.301959,461941012.755098,498029490.186256
St. Kitts and Nevis,KNA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1280771310.01142,1257766533.81363,1486796318.77658,1606969716.58137,1665025419.53542
"Korea, Rep.",KOR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2340031075342.67,2506662609666.9,2647260793541.75,2699603936744.09,
Kuwait,KWT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,182442653725.594,220886348976.419,252627730077.861,257354882134.389,256830086700.12
Latin America & Caribbean (excluding high income),LAC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9208514712620.74,10376937868562.7,11665524986850.9,12339952316042.2,12898792336877.7
Lao PDR,LAO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,58135955846.4305,60225053628.2101,66265586057.857,71221494499.9171,76049830544.9911
Lebanon,LBN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,92719310020.9046,66328931529.5091,70616088355.3971,72600709791.5249,
Liberia,LBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8545642458.19244,8095196890.78495,9089317746.92568,9857427644.16015,10579672532.0552
Libya,LBY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,77180930238.7107,90199384483.2022,88656571302.4505,101174573849.539,102993304184.472
St. Lucia,LCA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2658092445.8899,3409978230.91316,4397900557.96638,4656839898.51058,4955061818.04914
Latin America & Caribbean,LCN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10735724274883.9,12111316973474.3,13593105222392,14408100168878.8,15102115104990.4
Least developed countries: UN classification,LDC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3741960914108.29,4067044414065.73,4575139577354.83,4898552709402.87,5219086833721.01
Low income,LIC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1117429016342.73,1204746232312.57,1334453483835.45,1376844649980.78,1453722328302.25
Liechtenstein,LIE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Sri Lanka,LKA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,283651681999.953,317188291991.223,314829453164.917,318559256926.749,342603896900.927
Lower middle income,LMC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,20598070868298.5,23005935126235.4,26221989013960.6,28900894970920.9,31178041990377.7
Low & middle income,LMY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,69863796639786,78601195609118.1,88168021687024,95869404129747.8,102471819129132
Lesotho,LSO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5721443976.33825,5755132494.46552,6312660804.56615,6659272958.62664,7008693666.1915
Late-demographic dividend,LTE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,45166615603970.2,51472823246247.5,56884419575345.4,61377400509556.9,65751605769423.2
Lithuania,LTU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,115963490767.144,128830296666.031,142993189030.375,146206359207.239,157150520997.22
Luxembourg,LUX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,76953191626.4398,87543117438.5072,93643147424.9449,94916112738.7786,102180990717.512
Latvia,LVA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,62223400359.4028,69560319491.8466,75101731516.1743,78495987718.931,81699623488.0085
"Macao SAR, China",MAC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,39219148014.2064,50626336573.1949,43600459870.7372,79074346817.4287,88119857289.2449
St. Martin (French part),MAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Morocco,MAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,286108585852.483,323485096796.555,351840396847.175,376906204043.986,398513761721.117
Monaco,MCO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Moldova,MDA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35646566427.3806,40707659297.2633,41603848485.6981,43618128785.717,44718897540.0215
Madagascar,MDG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43150154155.6067,46835678113.5552,52260133350.5089,56416214294.2179,60207191110.5255
Maldives,MDV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6741118651.2306,9834087308.92595,11991813788.7322,13010501267.78,14009213969.3321
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9200823600163.3,10321020669142,11771196067719.3,12450947425784.5,13040733255261.5
Mexico,MEX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2454084724796.82,2652858835981.85,3006940450744.82,3224627506520.01,3361570175385.56
Marshall Islands,MHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,262085491.939992,277401943.188956,293856595.45483,292451749.919892,307823221.268995
Middle income,MIC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,68782080070912.9,77430685395505.1,86870052717185.6,94523824113700.3,101046864977123
North Macedonia,MKD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37052260242.8725,40681504691.9464,44084717528.5101,44581273725.1933,47648935134.4505
Mali,MLI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,59141995694.5382,62603712698.5219,69419933564.9113,75310419236.7841,80991580402.8523
Malta,MLT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25768258954.3147,29433654077.1052,32126739375.4334,34869883001.818,38690522255.8677
Myanmar,MMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,304367346941.67,276462287916.21,308130563643.829,322277844296.53,326862397165.755
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6066249777007.41,6546703308773.4,7330204983382.37,7807495872200.97,8181179977034.69
Montenegro,MNE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,13050296519.1466,14903409289.4305,17209273854.0872,19080877955.8567,20823349604.3018
Mongolia,MNG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,45560002626.38,50053145881.8599,56320298556.3279,62677497750.9381,67315454531.6436
Northern Mariana Islands,MNP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Mozambique,MOZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43454882038.8104,46205728911.2947,51660358771.4538,56429069634.9957,58863787008.2917
Mauritania,MRT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26408154182.6331,27635403694.625,31617666980.5464,34886849205.0866,37588430731.7267
Mauritius,MUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26999298652.9561,28793361692.7371,33527657824.4858,36473533933.3164,39108930779.9098
Malawi,MWI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29563756336.0156,33831623933.4187,36577488742.4275,38610812096.7184,40266877390.592
Malaysia,MYS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,931106663877.47,1022398815013.98,1192353239707.87,1279178242678.17,1377111092000.87
North America,NAC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,23207424397614.3,25866624830798.1,28489182144844.6,30312007112175.1,31895507778448.4
Namibia,NAM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25525198217.6345,27287889637.5942,30811603933.0551,33338484196.9914,35411935194.1771
New Caledonia,NCL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Niger,NER,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35501317683.8958,38850574077.5224,46573248097.999,49053754855.8382,54470927080.1992
